Robot,right_bump_sensor,left_bump_sensor,Force
2,784,1204,9603.40
2,792,1036,51976.08
2,808,992,39723.36
2,964,820,23673.84
2,1104,820,89042.97
2,684,1336,107093.62
2,1676,840,102405.28
2,952,836,57028.53
2,684,1600,103739.28
2,1780,840,38980.43
2,1072,816,34286.95
2,832,912,220244.31
2,1052,1424,37983.13
2,708,884,286808.81
2,700,808,96250.27
2,984,944,54983.44
2,728,840,5804.91
2,792,868,77191.40
2,688,832,29752.75
2,708,820,6401.92
2,708,816,2950.49
2,700,816,20536.62
2,700,812,23015.32
2,704,816,11621.69
2,732,808,33402.23
2,828,836,45878.05
2,964,816,112811.32
2,960,820,111062.85
2,1168,1096,121616.63
2,748,1028,149749.79
2,964,820,80468.21
2,968,864,107947.93
2,872,836,39604.33
2,964,820,32176.38
2,1136,872,104003.25
2,916,840,67432.68
2,928,820,76670.78
2,936,856,51903.58
2,940,948,41366.54
2,984,992,32959.22
2,976,1024,47636.35
2,964,924,52173.41
2,1028,880,11568.50
2,1120,860,23905.82
2,1068,820,12170.82
2,828,972,127955.96
2,836,980,28605.08
2,816,992,4901.06
2,816,988,36429.26
2,816,992,54896.71
2,816,992,60750.13
2,836,1012,21739.43
2,872,1056,54372.59
2,900,1076,85090.36
2,856,1032,93406.42
2,828,1044,47733.91
2,852,1032,21588.41
2,896,1040,3751.71
2,880,1056,37761.08
2,856,1032,3858.72
2,872,1024,57946.08
2,688,832,71061.20
2,684,796,11513.45
2,760,812,8796.88
2,704,812,55303.02
2,700,2512,265564.31
2,724,2508,191646.01
2,704,2524,31791.60
2,732,2520,153709.00
2,732,2556,137649.53
2,704,2524,236952.28
2,688,2348,53919.80
2,664,1320,75366.96
2,704,812,98817.89
2,700,812,9179.65
2,696,812,3418.40
2,696,808,3635.60
2,708,816,3344.90
2,708,816,5740.83
2,708,816,3049.73
2,700,808,6444.96
2,708,816,5332.46
2,704,816,7366.12
2,700,816,6346.38
2,700,812,7684.07
2,664,808,7303.30
2,664,808,7000.99
2,700,816,5331.30
2,700,808,6353.08
2,664,808,4485.40
2,664,808,9953.02
2,684,800,9021.62
2,688,800,8154.69
2,684,800,2694.95
2,684,800,9092.21
2,676,832,5397.87
2,684,792,3920.68
2,684,792,3646.18
2,684,792,7210.50
2,680,824,6823.76
2,684,828,7653.27
2,684,828,11452.13
2,704,812,4881.50
2,700,816,7505.08
2,700,812,5046.88
2,708,816,6831.03
2,704,816,4070.28
2,700,816,4216.56
2,700,812,6106.07
2,708,816,7742.60
2,704,816,7507.85
2,700,816,7897.17
2,700,812,5867.54
2,708,816,9130.97
2,704,816,5292.18
2,708,816,9522.92
2,700,808,4828.29
2,704,816,1894.19
2,704,816,6823.24
2,708,816,5988.03
2,700,812,754.84
2,708,816,5704.75
2,700,816,8403.81
2,696,816,7205.27
2,696,812,9759.32
2,700,816,5001.29
2,700,808,21821.93
2,700,812,10267.63
2,680,828,8398.38
2,684,824,10198.83
2,688,796,8130.75
2,684,792,4772.82
2,680,828,4001.78
2,684,792,7243.54
2,692,800,7449.08
2,688,796,6620.02
2,684,824,4847.80
2,688,800,6572.39
2,692,800,3836.72
2,708,820,5347.81
2,704,812,7552.57
2,688,800,6617.54
2,704,816,8716.03
2,704,816,8479.02
2,700,812,9007.66
2,708,820,2986.76
